Date,Variação Total (R$),Variação Percentual,Nome
2021-06-25,-1.5258789076710855e-06,-2.4770761442027833e-08,ITUB4
2021-06-28,-0.6999984741210952,-0.011363611592874912,ITUB4
2021-06-29,-1.3000007629394545,-0.0211039084892769,ITUB4
2021-06-30,-2.0000015258789077,-0.032467557238293976,ITUB4
2021-07-01,-2.219998931884767,-0.03603894369942806,ITUB4
2021-07-02,-1.5799995422363295,-0.025649343218122178,ITUB4
2021-07-05,-2.3999992370605483,-0.03896102657565825,ITUB4
2021-07-06,-2.5000015258789077,-0.040584440355177054,ITUB4
2021-07-07,-2.239999389648439,-0.036363626455331755,ITUB4
2021-07-08,-3.019998168945314,-0.04902594430106033,ITUB4
2021-07-12,-2.219998931884767,-0.03603894369942806,ITUB4
2021-07-13,-1.8599983215332045,-0.030194777946967566,ITUB4
2021-07-14,-1.7800003051757827,-0.028896108850256175,ITUB4
2021-07-15,-2.5000015258789077,-0.040584440355177054,ITUB4
2021-07-16,-3.460000610351564,-0.05616884107713582,ITUB4
2021-07-19,-3.8000007629394545,-0.0616883240736924,ITUB4
2021-07-20,-3.039998626708986,-0.049350627056964025,ITUB4
2021-07-21,-2.8000007629394545,-0.045454557839926246,ITUB4
2021-07-22,-3.3999992370605483,-0.05519479280942452,ITUB4
2021-07-23,-3.5599990844726577,-0.05779219292975091,ITUB4
2021-07-26,-2.539998626708986,-0.04123374394008095,ITUB4
2021-07-27,-1.960000610351564,-0.03181819172648648,ITUB4
2021-07-28,-0.01999816894531392,-0.00032464559976164153,ITUB4
2021-07-29,-0.3400016784667983,-0.0055195077673181325,ITUB4
2021-07-30,-1.0000015258789077,-0.01623379100452771,ITUB4
2021-08-02,-0.660001373291017,-0.010714308007971018,ITUB4
2021-08-03,-0.05999908447265767,-0.0009740111115691397,ITUB4
2021-08-04,-1.7800003051757827,-0.028896108850256175,ITUB4
2021-08-05,-1.6000000000000014,-0.025974025974025983,ITUB4
2021-08-06,0.08000030517577983,0.0012987062528535542,ITUB4
2021-08-09,0.8000015258789048,0.012987037757774322,ITUB4
2021-08-10,-0.3799987792968764,-0.006168811352222026,ITUB4
2021-08-11,0.30000152587890483,0.004870154640891355,ITUB4
2021-08-12,-0.8599983215332045,-0.01396101171320141,ITUB4
2021-08-13,-0.039998626708985796,-0.0006493283556653351,ITUB4
2021-08-16,-0.9199996948242202,-0.014935059980912713,ITUB4
2021-08-17,-1.1400009155273452,-0.018506508368950403,ITUB4
2021-08-18,-1.019998168945314,-0.016558411833527797,ITUB4
2021-08-19,-1.8000007629394545,-0.02922079160615998,ITUB4
2021-08-20,-2.019998168945314,-0.032792178067294064,ITUB4
2021-08-23,-1.3799987792968764,-0.022402577585988293,ITUB4
2021-08-24,0.30000152587890483,0.004870154640891355,ITUB4
2021-08-25,0.3799995422363267,0.006168823737602747,ITUB4
2021-08-26,-1.1200004577636733,-0.0181818256130466,ITUB4
2021-08-27,-0.07999954223632955,-0.0012986938674728332,ITUB4
2021-08-30,-0.5199981689453139,-0.00844152871664472,ITUB4
2021-08-31,0.28000106811523295,0.004545471884987551,ITUB4
2021-09-01,0.5199989318847642,0.00844154110202533,ITUB4
2021-09-02,-1.719998931884767,-0.027922060582544872,ITUB4
2021-09-03,-2.0599990844726577,-0.03344154357910156,ITUB4
2021-09-06,-1.3000007629394545,-0.0211039084892769,ITUB4
2021-09-08,-4.160001373291017,-0.0675324898261529,ITUB4
2021-09-09,-3.3999992370605483,-0.05519479280942452,ITUB4
2021-09-10,-3.980001068115236,-0.0646104069499227,ITUB4
2021-09-13,-3.259999847412111,-0.052922075445001826,ITUB4
2021-09-14,-3.6200004577636733,-0.05876624119746221,ITUB4
2021-09-15,-4.559999084472658,-0.07402595916351717,ITUB4
2021-09-16,-4.600000000000001,-0.07467532467532467,ITUB4
2021-09-17,-5.960000610351564,-0.09675325666155132,ITUB4
2021-09-20,-7.219998931884767,-0.11720777486825917,ITUB4
2021-09-21,-7.3599983215332045,-0.11948049223268187,ITUB4
2021-09-22,-6.100000000000001,-0.09902597402597402,ITUB4
2021-09-23,-4.180001831054689,-0.06785717258205659,ITUB4
2021-09-24,-4.980001068115236,-0.08084417318368886,ITUB4
2021-09-27,-3.5000015258789077,-0.05681820658894332,ITUB4
2021-09-28,-4.820001220703126,-0.07824677306336247,ITUB4
